title,description,category
Wi-Fi disconnected frequently in Hostel 4 Wing B,The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes.,IT and Wi-Fi
Urgent: Wi-Fi disconnected frequently in Hostel 4 Wing B,Reporting issue: The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes. Please send someone to inspect.,IT and Wi-Fi
Issue with wi-fi disconnected frequently in hostel 4 wing b,Attention maintenance team: The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes.,IT and Wi-Fi
Campus student portal gives 504 gateway timeout,Unable to register for semester electives due to gateway timeout on the portal.,IT and Wi-Fi
Urgent: Campus student portal gives 504 gateway timeout,Reporting issue: Unable to register for semester electives due to gateway timeout on the portal. Please send someone to inspect.,IT and Wi-Fi
Issue with campus student portal gives 504 gateway timeout,Attention maintenance team: Unable to register for semester electives due to gateway timeout on the portal.,IT and Wi-Fi
Ethernet port dead at desk 14 in computer lab 2,RJ45 wall socket has no link light and does not assign IP address.,IT and Wi-Fi
Urgent: Ethernet port dead at desk 14 in computer lab 2,Reporting issue: RJ45 wall socket has no link light and does not assign IP address. Please send someone to inspect.,IT and Wi-Fi
Issue with ethernet port dead at desk 14 in computer lab 2,Attention maintenance team: RJ45 wall socket has no link light and does not assign IP address.,IT and Wi-Fi
Eduroam authentication failing with university credentials,Cannot log into Eduroam network despite password reset on central LDAP.,IT and Wi-Fi
Urgent: Eduroam authentication failing with university credentials,Reporting issue: Cannot log into Eduroam network despite password reset on central LDAP. Please send someone to inspect.,IT and Wi-Fi
Issue with eduroam authentication failing with university credentials,Attention maintenance team: Cannot log into Eduroam network despite password reset on central LDAP.,IT and Wi-Fi
Slow internet speed in central library digital section,"Download and upload speeds are below 500 kbps, unable to access IEEE journals.",IT and Wi-Fi
Urgent: Slow internet speed in central library digital section,"Reporting issue: Download and upload speeds are below 500 kbps, unable to access IEEE journals. Please send someone to inspect.",IT and Wi-Fi
Issue with slow internet speed in central library digital section,"Attention maintenance team: Download and upload speeds are below 500 kbps, unable to access IEEE journals.",IT and Wi-Fi
Hostel 2 block C router blinking red,The corridor wireless access point shows red error light and has no SSID broadcast.,IT and Wi-Fi
Urgent: Hostel 2 block C router blinking red,Reporting issue: The corridor wireless access point shows red error light and has no SSID broadcast. Please send someone to inspect.,IT and Wi-Fi
Issue with hostel 2 block c router blinking red,Attention maintenance team: The corridor wireless access point shows red error light and has no SSID broadcast.,IT and Wi-Fi
Printer server offline in CSE department lab,Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN.,IT and Wi-Fi
Urgent: Printer server offline in CSE department lab,Reporting issue: Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN. Please send someone to inspect.,IT and Wi-Fi
Issue with printer server offline in cse department lab,Attention maintenance team: Network printer 10.10.4.55 is unresponsive to print jobs submitted over LAN.,IT and Wi-Fi
Smart card attendance scanner not connecting to server,Biometric terminal in Main Seminar Hall gives network connection timeout error.,IT and Wi-Fi
Urgent: Smart card attendance scanner not connecting to server,Reporting issue: Biometric terminal in Main Seminar Hall gives network connection timeout error. Please send someone to inspect.,IT and Wi-Fi
Issue with smart card attendance scanner not connecting to server,Attention maintenance team: Biometric terminal in Main Seminar Hall gives network connection timeout error.,IT and Wi-Fi
DNS resolution failure on campus intranet,Unable to open internal faculty portal and Moodle LMS on campus network.,IT and Wi-Fi
Urgent: DNS resolution failure on campus intranet,Reporting issue: Unable to open internal faculty portal and Moodle LMS on campus network. Please send someone to inspect.,IT and Wi-Fi
Issue with dns resolution failure on campus intranet,Attention maintenance team: Unable to open internal faculty portal and Moodle LMS on campus network.,IT and Wi-Fi
