title,description,category
Main transformer buzzing loudly with heat,Transformer unit behind sports complex is humming excessively loud with ozone odor.,Electrical
Study table drawer broken and falling out,Runner track is bent and drawer cannot be slid in or out in Room 118.,Hostel maintenance
Urgent: Firewall blocking academic Git repositories,Reporting issue: Git clone from github and gitlab is hanging with connection refused on campus proxy. Please send someone to inspect.,IT and Wi-Fi
Socket burnt in Chemistry research lab,Three-pin 16A socket showed smoke when heating mantle was plugged in.,Electrical
Urgent: Sparking observed in main distribution board in Block A,Reporting issue: Heard crackling sound and noticed burning smell near electrical switchboard on floor 2. Please send someone to inspect.,Electrical
Urgent: Lab sink trap cracked and dripping under cabinet,Reporting issue: Acidic waste drip has corroded the drain trap under bench 4 in Bio lab. Please send someone to inspect.,Plumbing
Issue with restroom lacks soap and paper towels in main building,Attention maintenance team: Handwash liquid dispensers are empty in all 1st floor lavatories.,Sanitation
Urgent: Room door lock cylinder jammed in Hostel 6,Reporting issue: Key cannot be turned in lock; student currently unable to secure room when leaving. Please send someone to inspect.,Hostel maintenance
Urgent: Dust and cobwebs on classroom desks in Hall 105,Reporting issue: Benches are coated in thick dust and windows haven't been wiped in weeks. Please send someone to inspect.,Sanitation
Urgent: Motorized projection screen stuck halfway down,Reporting issue: Electric screen remote does not respond and screen is jammed crooked in LH 4. Please send someone to inspect.,Classroom and laboratory equipment
Urgent: Drinking water cooler leaking onto hallway floor,Reporting issue: Water purifier outlet pipe is cracked near Library 1st floor water dispenser. Please send someone to inspect.,Plumbing
Urgent: Bicycle lock key snapped off in parking rack,"Reporting issue: Key broke inside U-lock at Department bicycle stand, cycle cannot be unlocked. Please send someone to inspect.",Other
Bed frame wooden plank cracked in Room 502,Support slat under cot has split down the center.,Hostel maintenance
Pest and cockroach infestation in hostel pantry area,Cockroaches observed around microwaves and water dispenser counter.,Sanitation
Dampness and paint peeling off ceiling in Room 410,Water seepage from upper terrace has caused plaster to fall on study desk.,Hostel maintenance
Hostel 2 block C router blinking red,The corridor wireless access point shows red error light and has no SSID broadcast.,IT and Wi-Fi
Urgent: Smart card attendance scanner not connecting to server,Reporting issue: Biometric terminal in Main Seminar Hall gives network connection timeout error. Please send someone to inspect.,IT and Wi-Fi
Issue with exposed wires hanging from false ceiling in corridor,Attention maintenance team: Open electrical wires with stripped insulation near elevator on 4th floor.,Electrical
Wooden wardrobe door hinge detached,Almirah door is hanging by one hinge and might fall off if opened.,Hostel maintenance
Power outage in Mechanical workshop section B,All 3-phase power sockets for lathe machines are completely dead since morning.,Electrical
Urgent: Geyser water heater in bathroom not heating,Reporting issue: Water remains ice cold even after 30 minutes of geyser being powered on. Please send someone to inspect.,Hostel maintenance
Window glass shattered in Room 304 due to storm,Outer window pane cracked and loose shards may fall into courtyard below.,Hostel maintenance
Issue with smart card attendance scanner not connecting to server,Attention maintenance team: Biometric terminal in Main Seminar Hall gives network connection timeout error.,IT and Wi-Fi
Issue with smart interactive whiteboard touch calibration lost,Attention maintenance team: Stylus inputs register 5 inches away from contact point on smartboard in LH 302.,Classroom and laboratory equipment
Wi-Fi disconnected frequently in Hostel 4 Wing B,The Wi-Fi router on the 3rd floor keeps dropping signal every 5 minutes.,IT and Wi-Fi
Urgent: Urinal auto-flush sensor leaking continuously,Reporting issue: Sensor actuated valve is stuck open wasting constant streams of water. Please send someone to inspect.,Plumbing
Issue with mattress provided is severely damaged and sagging,Attention maintenance team: Springs are protruding through fabric posing a safety issue for occupant.,Hostel maintenance
